Player;Nation;Pos;Squad;Comp;Age;Born;Playing Time_MP;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG;cluster;distance_to_pedri;distance_norm;minutes_penalty;minutes_penalty_norm;replacement_score
Han-Noah Massengo;fr FRA;MF;Augsburg;de Bundesliga;24-196;2001.0;18;17;1433;15.9;1;1;2;1;0;0;1;0;0.7;0.7;0.9;1.7;23.0;70.0;14.0;0.06;0.06;0.13;0.06;0.13;0.05;0.06;0.11;0.05;0.11;2;6.055202162030252;0.8360951072956511;7.2682230211595655;0.7773750265543509;0.812607074999131
Rolando Mandragora;it ITA;MF;Fiorentina;it Serie A;28-204;1997.0;21;19;1528;17.0;6;0;6;5;1;1;4;0;3.0;2.3;1.6;3.8;8.0;62.0;47.0;0.35;0.0;0.35;0.29;0.29;0.19;0.1;0.29;0.14;0.24;2;5.949639024206835;0.8168238843279207;7.332369205929062;0.8215688952041438;0.81872188867841
Jordan Henderson;eng ENG;MF;Brentford;eng Premier League;35-216;1990.0;20;15;1354;15.0;1;3;4;1;0;0;4;0;0.3;0.3;1.9;2.2;6.0;82.0;20.0;0.07;0.2;0.27;0.07;0.27;0.02;0.13;0.15;0.02;0.15;2;6.25811690739353;0.873138486092113;7.2115567333138015;0.7383344742451827;0.8192168813533409
Granit Xhaka;ch SUI;MF;Sunderland;eng Premier League;33-114;1992.0;22;22;1962;21.8;1;5;6;1;0;0;4;0;0.6;0.6;2.0;2.6;20.0;127.0;19.0;0.05;0.23;0.28;0.05;0.28;0.03;0.1;0.13;0.03;0.13;2;5.330505843230768;0.7037971798994438;7.5822291942764615;0.9937113156075288;0.8197628341826778
Bryan Cristante;it ITA;MF;Roma;it Serie A;30-322;1995.0;20;20;1665;18.5;1;0;1;1;0;0;5;0;1.1;1.1;0.6;1.7;20.0;144.0;34.0;0.05;0.0;0.05;0.05;0.05;0.06;0.04;0.1;0.06;0.1;2;5.768163535877576;0.7836943784143982;7.418180822726788;0.8806892830341067;0.8224923402622816
Scott McTominay;sct SCO;MF;Napoli;it Serie A;29-042;1996.0;20;19;1711;19.0;5;3;8;5;0;0;1;0;5.1;5.1;1.3;6.4;29.0;48.0;66.0;0.26;0.16;0.42;0.26;0.42;0.3;0.08;0.38;0.3;0.38;2;5.713716508241812;0.7737547268358882;7.445417556701687;0.8994541814931729;0.8240345086988021
Nicolás González;es ESP;MF;Manchester City;eng Premier League;24-016;2002.0;19;15;1335;14.8;1;0;1;1;0;0;4;0;0.6;0.6;0.6;1.1;21.0;83.0;12.0;0.07;0.0;0.07;0.07;0.07;0.04;0.04;0.08;0.04;0.08;2;6.4093301722896765;0.9007434304275748;7.197435354096591;0.7286054719588906;0.831888247040101
Sergio Carreira;es ESP;MF,DF;Celta Vigo;es La Liga;25-098;2000.0;17;15;1374;15.3;2;1;3;2;0;0;1;0;0.6;0.6;0.4;1.0;26.0;70.0;93.0;0.13;0.07;0.2;0.13;0.2;0.04;0.03;0.07;0.04;0.07;2;6.352518068934814;0.8903720192172646;7.226209010100671;0.7484292413473295;0.8335949080692906
Melvin Bard;fr FRA;DF,MF;Nice;fr Ligue 1;25-074;2000.0;18;16;1509;16.8;1;1;2;1;0;0;2;0;0.4;0.4;0.6;1.0;30.0;55.0;58.0;0.06;0.06;0.12;0.06;0.12;0.02;0.04;0.06;0.02;0.06;2;6.124892324844513;0.8488174902594618;7.31986492980897;0.8129540050372874;0.834472096170592
Moisés Caicedo;ec ECU;MF;Chelsea;eng Premier League;24-078;2001.0;17;16;1432;15.9;3;1;4;3;0;0;5;1;0.9;0.9;1.1;2.0;11.0;91.0;13.0;0.19;0.06;0.25;0.19;0.25;0.06;0.08;0.13;0.06;0.13;2;6.275560962456191;0.8763230094163081;7.267525427828172;0.7768944157718174;0.8365515719585118
Laurent Abergel;fr FRA;MF;Lorient;fr Ligue 1;32-352;1993.0;17;17;1468;16.3;1;0;1;1;0;0;5;0;0.7;0.7;1.0;1.6;18.0;78.0;13.0;0.06;0.0;0.06;0.06;0.06;0.04;0.06;0.11;0.04;0.11;2;6.264648653790699;0.87433089798687;7.292337176173877;0.7939886069743354;0.8421939815818562
Máximo Perrone;ar ARG;MF;Como;it Serie A;23-012;2003.0;18;17;1481;16.5;2;3;5;2;0;0;6;0;1.1;1.1;1.3;2.4;8.0;77.0;19.0;0.12;0.18;0.3;0.12;0.3;0.07;0.09;0.16;0.07;0.16;2;6.297365368361532;0.8803035425507402;7.301147805856032;0.8000587390062606;0.8482056211329483
Yehor Yarmoliuk;ua UKR;MF;Brentford;eng Premier League;21-324;2004.0;22;20;1656;18.4;1;2;3;1;0;0;4;0;0.9;0.9;1.3;2.2;18.0;68.0;24.0;0.05;0.11;0.16;0.05;0.16;0.05;0.07;0.12;0.05;0.12;2;6.056290574447951;0.8362938039128112;7.4127640174265625;0.8769573450739632;0.8525592203772719
Koke;es ESP;MF;Atlético Madrid;es La Liga;34-011;1992.0;19;14;1281;14.2;2;2;4;2;0;0;4;0;0.3;0.3;1.4;1.7;5.0;88.0;12.0;0.14;0.14;0.28;0.14;0.28;0.02;0.1;0.12;0.02;0.12;2;6.70247197452907;0.954258332964552;7.156176637480615;0.7001800510342076;0.8526270201924142
João Gomes;br BRA;MF;Wolves;eng Premier League;24-341;2001.0;21;19;1664;18.5;0;0;0;0;0;0;6;0;0.6;0.6;0.5;1.0;27.0;90.0;32.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.06;0.03;0.06;2;6.046476641631064;0.8345022079882858;7.417580402414544;0.8802756201403694;0.8528115728491192
José Luis García Vayá;es ESP;MF;Valencia;es La Liga;27-161;1998.0;18;16;1415;15.7;2;0;2;1;1;2;2;0;2.3;0.8;1.1;1.9;4.0;103.0;12.0;0.13;0.0;0.13;0.06;0.06;0.16;0.07;0.23;0.06;0.13;2;6.480265235678827;0.9136930779180565;7.255591274253665;0.7686723146848484;0.8556847726247733
Michel Aebischer;ch SUI;MF;Pisa;it Serie A;29-013;1997.0;20;19;1673;18.6;0;1;1;0;0;0;4;0;0.2;0.2;0.8;1.0;23.0;93.0;18.0;0.0;0.05;0.05;0.0;0.05;0.01;0.05;0.06;0.01;0.06;2;6.238507893238324;0.8695587357005088;7.422971251049421;0.883989675112411;0.8753311114652697
Mikel Jauregizar;es ESP;MF;Athletic Club;es La Liga;22-067;2003.0;20;20;1735;19.3;1;0;1;1;0;0;2;0;1.1;1.1;0.9;2.0;10.0;119.0;32.0;0.05;0.0;0.05;0.05;0.05;0.06;0.05;0.11;0.06;0.11;2;6.284798428256505;0.8780093676163876;7.459338895220296;0.9090453646341734;0.8904237664235019
Antonio Blanco;es ESP;MF;Alavés;es La Liga;25-180;2000.0;18;18;1555;17.3;0;1;1;0;0;0;5;0;0.5;0.5;0.6;1.1;10.0;101.0;12.0;0.0;0.06;0.06;0.0;0.06;0.03;0.04;0.07;0.03;0.07;2;6.953033856855968;1.0000000000000002;7.349873704738337;0.8336287164380547;0.9334514865752219
Nemanja Matić;rs SRB;MF;Sassuolo;it Serie A;37-171;1988.0;20;20;1773;19.7;1;0;1;1;0;0;4;0;0.2;0.2;0.6;0.8;19.0;88.0;18.0;0.05;0.0;0.05;0.05;0.05;0.01;0.03;0.04;0.01;0.04;2;6.764487225913888;0.9655796119780258;7.480992162869525;0.9239635030981752;0.9489331684260855
